# pdb h1 h2 h3 l1 l2 l3
2hh0 64.3335714286 57.7502189781 75.0355128205 72.6453012048 64.107826087 60.5612
1u8q 26.95075 28.3901515152 34.0933333333 31.83 24.501875 25.8292771084
4ydl 34.5012087912 37.8973134328 29.2525 42.0588764045 32.948 27.7946666667
1xiw 21.4844303797 23.8642253521 18.260625 22.365 22.1091666667 18.3660273973
1mhp 37.2497590361 36.7965517241 29.8094520548 35.6808219178 35.3291666667 29.2052564103
4ydk 36.7316666667 38.1340086207 35.4003858521 46.0114035088 42.3437 32.2237692308
4ydj 91.9099107143 91.840962963 87.5473109244 122.726869565 82.9958196721 83.2595454545
5vkd 27.0078 34.1856504065 28.2183908046 67.502585034 27.5259574468 50.9921538462
5vke 64.2133333333 66.7954477612 49.5343661972 49.0643902439 55.1253846154 37.8696341463
4ydv 66.0570454545 69.6113636364 66.1021830986 117.466271186 91.7984482759 106.583378378
4rgm 31.8122368421 37.7591366906 30.7688421053 41.1151685393 36.2515217391 30.688902439
1mhh 26.6383333333 35.6368382353 26.7731764706 44.5777372263 27.995 31.7268055556
5vkh 35.88 37.9644366197 27.0890140845 27.0040243902 32.8344230769 19.687195122
1yqv 20.8667032967 21.2239849624 19.8558181818 21.8563157895 22.3483673469 19.0968115942
5x4g 22.8729545455 20.5137254902 26.7430188679 20.564125 24.3367924528 15.9874324324
5bq7 45.651863354 49.9657246377 72.7270535714 85.79625 104.675 86.9304225352
1yc7 20.6796610169 18.5608403361 27.1956923077 none none none
1yc8 52.7245762712 52.4832142857 61.9415625 none none none
5ye3 14.7717647059 16.7577443609 14.3735 15.6594252874 14.6407142857 12.5757746479
1vge 27.93 22.3235820896 24.9608510638 28.1428767123 21.2076 21.1131168831
5ig7 33.1979220779 33.9791071429 51.5797115385 36.4209411765 54.8918421053 33.8228787879
5vk6 64.4790804598 63.7049253731 50.5549295775 50.9847560976 58.33 39.1180487805
1hh9 44.9884269663 47.1208943089 40.2903448276 45.8155294118 44.5203389831 42.0626923077
1mh5 42.1501176471 46.5473717949 52.0052873563 58.5531782946 50.1917307692 37.8633333333
4kq3 33.1979710145 45.1748201439 28.7451315789 34.0725287356 30.8233333333 26.4868181818
4kq4 81.7825 94.3045112782 85.7905555556 89.1685135135 88.5608333333 84.5024050633
5y9k 30.508028169 32.193 33.6307079646 36.628045977 39.5350943396 44.0015116279
5y9j 36.3371830986 39.0846923077 29.1462831858 38.8197701149 39.958490566 41.7325581395
3x3f 29.3173255814 32.1926811594 23.0994444444 21.485308642 17.4884 18.7013924051
3x3g 54.8188372093 58.6513043478 81.2252083333 73.6983950617 66.8094 65.9120253165
1hh6 42.4157303371 43.6064227642 37.2275862069 40.6927058824 39.7988135593 39.5423076923
1pg7 25.9576923077 35.769 26.9586915888 30.6416161616 30.0764 28.2633333333
2atk 68.2070114943 68.6029577465 48.5984507042 39.9507317073 52.1038461538 32.4356097561
6ffj 37.0372222222 48.1317142857 44.3913194444 38.3483516484 41.93984375 33.9881333333
1t2j 19.71125 17.8822727273 20.7908196721 none none none
1i9i 42.0907792208 54.1273636364 41.0774117647 97.6862903226 47.85 59.1855882353
1n0x 35.8304545455 37.8367123288 45.0660927152 35.8992857143 37.169787234 27.3125
1i9j 16.65 20.0372727273 19.8614117647 40.7324193548 24.1255172414 20.7864705882
1f2x 27.8815068493 16.2672115385 20.9885534591 none none none
5veb 25.3380519481 24.9135135135 23.3093333333 31.9190588235 22.7402083333 20.9551351351
4f3f 29.1095205479 27.944490566 22.83 31.0455882353 28.3004040404 28.9216774194
6bhz 22.5601176471 19.9615217391 26.2470212766 34.3474358974 34.3068518519 27.9821333333
5ukr 33.2301136364 37.9307874016 41.9015873016 45.6257446809 53.5277192982 37.9683116883
5ukq 41.9869318182 42.447480315 39.288968254 40.1359574468 44.2664912281 37.7842857143
5ukp 36.3019318182 29.8756349206 37.2803846154 20.8840659341 35.4363636364 25.7271428571
4lou 43.8566304348 51.0654198473 31.0431034483 35.7426388889 25.5047058824 31.8253246753
5uko 57.9417045455 50.67015625 55.1016923077 43.4497802198 55.4427272727 45.5646753247
5ukn 39.9802272727 43.0245669291 38.4866153846 29.4312087912 38.9363636364 37.9911688312
3cfj 36.7990721649 38.6607971014 46.6900763359 37.7260824742 38.6990196078 40.3556756757
3k2u 42.5973417722 45.1577310924 45.399 69.2327631579 66.7681481481 49.0817910448
1clo 13.01875 26.5622695035 16.8254166667 24.8752564103 18.8037777778 17.2266666667
3eot 41.8965060241 42.8706896552 31.7684931507 20.688125 26.4497916667 22.3401388889
5vyf 43.4809210526 39.0372131148 52.1073333333 42.2901190476 51.9436734694 36.0834615385
3gm0 46.3241891892 38.6750746269 41.4631034483 48.6069512195 37.1983050847 34.967875
3mnz 25.7739285714 25.724379562 19.5433333333 31.0444202899 28.4521428571 24.275
3eoa 20.7070238095 27.7651369863 17.410462963 26.1205813953 18.6980434783 18.0821518987
